Observation: Box([-90.        -90.         -5.         -5.         -3.1415927  -5.
  -0.         -0.       ], [90.        90.         5.         5.         3.1415927  5.
  1.         1.       ], (8,), float32), float32
Action:      Discrete(4), int64
Using cpu device
action values = [ 0.0127886  -0.11541089  0.09351447 -0.02927131]
[1470.6] #353: length 1130, score 160, epsilon 0.030
[1471.7] #354: length 558, score 213, epsilon 0.030
[1473.0] #355: length 640, score 223, epsilon 0.030
[1473.5] #356: length 285, score 12, epsilon 0.030
[1474.3] #357: length 423, score 226, epsilon 0.030
[1474.9] #358: length 360, score 270, epsilon 0.030
[1475.7] #359: length 418, score 246, epsilon 0.030
[1476.4] #360: length 360, score 249, epsilon 0.030
[1477.0] #361: length 345, score 282, epsilon 0.030
[1477.6] #362: length 352, score 253, epsilon 0.030
[1478.2] #363: length 343, score 242, epsilon 0.030
[1478.9] #364: length 381, score 214, epsilon 0.030
[1479.6] #365: length 358, score 251, epsilon 0.030
[1480.2] #366: length 358, score 254, epsilon 0.030
[1480.9] #367: length 352, score 254, epsilon 0.030
[1481.6] #368: length 382, score 239, epsilon 0.030
[1482.3] #369: length 388, score 237, epsilon 0.030
[1482.9] #370: length 315, score 273, epsilon 0.030
[1483.4] #371: length 315, score 264, epsilon 0.030
[1484.0] #372: length 337, score 262, epsilon 0.030
[1485.1] #373: length 553, score 235, epsilon 0.030
[1485.7] #374: length 386, score 261, epsilon 0.030
[1486.4] #375: length 375, score 227, epsilon 0.030
[1487.4] #376: length 486, score 226, epsilon 0.030
[1488.1] #377: length 390, score 250, epsilon 0.030
[1488.9] #378: length 402, score 268, epsilon 0.030
[1489.6] #379: length 416, score 244, epsilon 0.030
[1490.4] #380: length 409, score 254, epsilon 0.030
[1491.1] #381: length 377, score 254, epsilon 0.030
[1491.7] #382: length 352, score 277, epsilon 0.030
[1492.5] #383: length 399, score 232, epsilon 0.030
[1493.1] #384: length 364, score 281, epsilon 0.030
[1493.9] #385: length 447, score 225, epsilon 0.030
[1494.7] #386: length 434, score 279, epsilon 0.030
[1495.4] #387: length 402, score 277, epsilon 0.030
[1496.4] #388: length 501, score 236, epsilon 0.030
[1497.0] #389: length 332, score 283, epsilon 0.030
[1497.6] #390: length 354, score 257, epsilon 0.030
[1498.5] #391: length 489, score 263, epsilon 0.030
[1499.1] #392: length 373, score 210, epsilon 0.030
[1499.9] #393: length 412, score 288, epsilon 0.030
[1500.7] #394: length 419, score 250, epsilon 0.030
[1501.3] #395: length 355, score 278, epsilon 0.030
[1502.1] #396: length 419, score 246, epsilon 0.030
[1502.8] #397: length 374, score 208, epsilon 0.030
[1503.3] #398: length 300, score 281, epsilon 0.030
[1503.9] #399: length 365, score 236, epsilon 0.030
[1505.0] #400: length 574, score 256, epsilon 0.030
[1506.0] #401: length 550, score 258, epsilon 0.030
[1506.5] #402: length 311, score 290, epsilon 0.030
[1507.3] #403: length 438, score 206, epsilon 0.030
[1508.2] #404: length 436, score 204, epsilon 0.030
[1508.9] #405: length 384, score 269, epsilon 0.030
[1509.7] #406: length 470, score 255, epsilon 0.030
[1510.6] #407: length 474, score 223, epsilon 0.030
[1511.4] #408: length 388, score 232, epsilon 0.030
[1512.0] #409: length 354, score 286, epsilon 0.030
[1512.5] #410: length 301, score 279, epsilon 0.030
[1513.0] #411: length 306, score 268, epsilon 0.030
[1513.8] #412: length 395, score 240, epsilon 0.030
[1514.6] #413: length 448, score 232, epsilon 0.030
[1515.2] #414: length 351, score 277, epsilon 0.030
[1516.0] #415: length 407, score 247, epsilon 0.030
[1516.5] #416: length 329, score 278, epsilon 0.030
[1517.5] #417: length 503, score 222, epsilon 0.030
[1518.2] #418: length 366, score 202, epsilon 0.030
[1519.5] #419: length 630, score 229, epsilon 0.030
[1520.4] #420: length 474, score 250, epsilon 0.030
[1521.0] #421: length 378, score 211, epsilon 0.030
[1521.7] #422: length 388, score 245, epsilon 0.030
[1522.3] #423: length 328, score 259, epsilon 0.030
[1523.1] #424: length 468, score 210, epsilon 0.030
[1524.1] #425: length 493, score 223, epsilon 0.030
[1524.8] #426: length 396, score 234, epsilon 0.030
[1525.4] #427: length 325, score -170, epsilon 0.030
[1526.0] #428: length 381, score 202, epsilon 0.030
[1527.1] #429: length 547, score 238, epsilon 0.030
[1527.6] #430: length 335, score 249, epsilon 0.030
[1528.3] #431: length 353, score 247, epsilon 0.030
[1529.2] #432: length 430, score 264, epsilon 0.030
[1530.0] #433: length 441, score 213, epsilon 0.030
[1530.9] #434: length 486, score -175, epsilon 0.030
[1531.7] #435: length 428, score 218, epsilon 0.030
[1532.4] #436: length 374, score 262, epsilon 0.030
[1533.4] #437: length 538, score 186, epsilon 0.030
[1534.8] #438: length 607, score 183, epsilon 0.030
[1535.5] #439: length 413, score 233, epsilon 0.030
[1536.8] #440: length 630, score 227, epsilon 0.030
[1537.4] #441: length 356, score 248, epsilon 0.030
[1538.2] #442: length 453, score 242, epsilon 0.030
[1539.2] #443: length 513, score 232, epsilon 0.030
[1539.8] #444: length 361, score 226, epsilon 0.030
[1540.7] #445: length 457, score 240, epsilon 0.030
[1541.7] #446: length 512, score 223, epsilon 0.030
[1542.8] #447: length 562, score 264, epsilon 0.030
[1543.6] #448: length 425, score 237, epsilon 0.030
[1544.3] #449: length 402, score 219, epsilon 0.030
[1544.9] #450: length 327, score 255, epsilon 0.030
[1547.7] #451: length 1162, score -244, epsilon 0.030
[1548.3] #452: length 349, score 238, epsilon 0.030
[1549.0] #453: length 366, score 227, epsilon 0.030
[1550.0] #454: length 515, score 230, epsilon 0.030
[1550.8] #455: length 423, score 245, epsilon 0.030
[1551.4] #456: length 360, score 267, epsilon 0.030
[1552.2] #457: length 443, score 240, epsilon 0.030
[1552.9] #458: length 383, score 219, epsilon 0.030
[1553.6] #459: length 383, score 224, epsilon 0.030
[1554.3] #460: length 347, score 233, epsilon 0.030
[1555.1] #461: length 466, score 253, epsilon 0.030
[1556.0] #462: length 426, score 239, epsilon 0.030
[1556.9] #463: length 495, score 260, epsilon 0.030
[1557.4] #464: length 317, score 247, epsilon 0.030
[1558.1] #465: length 369, score 256, epsilon 0.030
[1558.8] #466: length 387, score 237, epsilon 0.030
[1559.4] #467: length 368, score 252, epsilon 0.030
[1560.2] #468: length 417, score 269, epsilon 0.030
[1560.9] #469: length 374, score 263, epsilon 0.030
[1561.7] #470: length 424, score 235, epsilon 0.030
[1562.7] #471: length 500, score 226, epsilon 0.030
[1563.3] #472: length 380, score 246, epsilon 0.030
[1564.4] #473: length 563, score 249, epsilon 0.030
[1565.0] #474: length 348, score 229, epsilon 0.030
[1566.0] #475: length 500, score 214, epsilon 0.030
[1566.9] #476: length 479, score 257, epsilon 0.030
[1567.8] #477: length 433, score 258, epsilon 0.030
[1568.5] #478: length 407, score 245, epsilon 0.030
[1569.2] #479: length 360, score 221, epsilon 0.030
[1569.8] #480: length 355, score 213, epsilon 0.030
[1571.0] #481: length 645, score 246, epsilon 0.030
[1571.6] #482: length 320, score 223, epsilon 0.030
[1572.2] #483: length 353, score 295, epsilon 0.030
[1572.8] #484: length 325, score 228, epsilon 0.030
[1573.4] #485: length 343, score 264, epsilon 0.030
[1574.1] #486: length 366, score 255, epsilon 0.030
[1574.7] #487: length 371, score 284, epsilon 0.030
[1575.0] #488: length 190, score 38, epsilon 0.030
[1575.6] #489: length 353, score 276, epsilon 0.030
[1576.2] #490: length 322, score 252, epsilon 0.030
[1576.8] #491: length 341, score 223, epsilon 0.030
[1577.2] #492: length 249, score 46, epsilon 0.030
[1577.7] #493: length 271, score 233, epsilon 0.030
[1578.3] #494: length 370, score 265, epsilon 0.030
[1578.9] #495: length 311, score 248, epsilon 0.030
[1579.5] #496: length 348, score 236, epsilon 0.030
[1580.0] #497: length 302, score 237, epsilon 0.030
[1580.6] #498: length 327, score 221, epsilon 0.030
[1581.3] #499: length 414, score 240, epsilon 0.030
[1582.0] #500: length 382, score 225, epsilon 0.030
[1582.6] #501: length 325, score 261, epsilon 0.030
[1583.2] #502: length 320, score 239, epsilon 0.030
[1583.8] #503: length 335, score 248, epsilon 0.030
[1584.5] #504: length 420, score 262, epsilon 0.030
[1585.1] #505: length 359, score 262, epsilon 0.030
[1585.7] #506: length 321, score 218, epsilon 0.030
[1586.2] #507: length 307, score 245, epsilon 0.030
[1586.7] #508: length 292, score 248, epsilon 0.030
[1587.5] #509: length 391, score 239, epsilon 0.030
[1588.1] #510: length 334, score 276, epsilon 0.030
[1588.7] #511: length 324, score 255, epsilon 0.030
[1589.2] #512: length 314, score 238, epsilon 0.030
[1589.8] #513: length 333, score 278, epsilon 0.030
[1590.4] #514: length 329, score 262, epsilon 0.030
[1591.0] #515: length 375, score 269, epsilon 0.030
[1591.6] #516: length 330, score 245, epsilon 0.030
[1592.1] #517: length 288, score 275, epsilon 0.030
