[179.7] #222: length 500, score 56, avg 5.5, epsilon 0.327
[181.7] #223: length 500, score 94, avg 7.0, epsilon 0.325
[182.2] #224: length 139, score 11, avg 7.2, epsilon 0.324
[184.3] #225: length 500, score 91, avg 8.8, epsilon 0.322
[186.4] #226: length 500, score 96, avg 10.0, epsilon 0.321
[186.8] #227: length 114, score -77, avg 10.2, epsilon 0.319
[187.3] #228: length 141, score -33, avg 10.2, epsilon 0.317
[187.9] #229: length 167, score -87, avg 8.9, epsilon 0.316
[189.9] #230: length 500, score 93, avg 10.2, epsilon 0.314
[191.9] #231: length 500, score 80, avg 11.1, epsilon 0.313
[194.0] #232: length 500, score 131, avg 13.4, epsilon 0.311
[196.1] #233: length 500, score 59, avg 14.1, epsilon 0.309
[196.9] #234: length 218, score 28, avg 15.0, epsilon 0.308
[198.6] #235: length 424, score -84, avg 14.0, epsilon 0.306
[200.1] #236: length 409, score -101, avg 13.5, epsilon 0.305
[202.1] #237: length 500, score 109, avg 15.3, epsilon 0.303
[202.5] #238: length 122, score -108, avg 13.5, epsilon 0.302
[203.6] #239: length 285, score -49, avg 13.2, epsilon 0.300
[205.6] #240: length 500, score 42, avg 14.4, epsilon 0.299
[207.6] #241: length 500, score 121, avg 15.7, epsilon 0.297
[209.6] #242: length 500, score 91, avg 16.9, epsilon 0.296
[211.7] #243: length 500, score 28, avg 17.6, epsilon 0.294
[213.9] #244: length 500, score 23, avg 18.0, epsilon 0.293
[215.8] #245: length 500, score 132, avg 19.8, epsilon 0.291
[217.9] #246: length 500, score 142, avg 21.8, epsilon 0.290
[219.8] #247: length 500, score 143, avg 23.5, epsilon 0.288
[221.9] #248: length 500, score 106, avg 24.8, epsilon 0.287
[223.8] #249: length 500, score 156, avg 26.4, epsilon 0.286
[225.9] #250: length 500, score 128, avg 27.6, epsilon 0.284
[227.9] #251: length 500, score 92, avg 28.5, epsilon 0.283
[229.9] #252: length 500, score 111, avg 29.7, epsilon 0.281
[231.9] #253: length 500, score 120, avg 31.0, epsilon 0.280
[233.9] #254: length 500, score 168, avg 32.3, epsilon 0.279
[236.0] #255: length 500, score 136, avg 34.5, epsilon 0.277
[238.0] #256: length 500, score 121, avg 36.1, epsilon 0.276
[240.0] #257: length 500, score 119, avg 37.4, epsilon 0.274
[242.0] #258: length 500, score 122, avg 38.5, epsilon 0.273
[243.9] #259: length 500, score 149, avg 40.3, epsilon 0.272
[245.9] #260: length 500, score 116, avg 42.8, epsilon 0.270
[247.9] #261: length 500, score 200, avg 43.6, epsilon 0.269
[249.9] #262: length 500, score 100, avg 44.3, epsilon 0.268
[252.0] #263: length 500, score 137, avg 47.3, epsilon 0.266
[254.1] #264: length 500, score 141, avg 49.8, epsilon 0.265
[256.1] #265: length 498, score 219, avg 51.3, epsilon 0.264
[258.2] #266: length 500, score 142, avg 51.8, epsilon 0.262
[260.2] #267: length 500, score 150, avg 53.6, epsilon 0.261
[262.2] #268: length 500, score 169, avg 54.0, epsilon 0.260
[262.7] #269: length 139, score 52, avg 54.3, epsilon 0.258
[264.7] #270: length 500, score 163, avg 54.9, epsilon 0.257
[266.6] #271: length 500, score 193, avg 57.2, epsilon 0.256
[268.6] #272: length 500, score 149, avg 57.8, epsilon 0.255
[270.6] #273: length 500, score 153, avg 59.3, epsilon 0.253
[271.1] #274: length 129, score -105, avg 57.9, epsilon 0.252
[273.2] #275: length 500, score 148, avg 59.6, epsilon 0.251
[275.2] #276: length 500, score 159, avg 60.8, epsilon 0.249
[277.3] #277: length 500, score 169, avg 62.6, epsilon 0.248
[278.1] #278: length 212, score 269, avg 66.5, epsilon 0.247
[280.1] #279: length 500, score 155, avg 68.8, epsilon 0.246
[282.1] #280: length 500, score 138, avg 70.3, epsilon 0.245
[284.0] #281: length 500, score 193, avg 71.6, epsilon 0.243
[285.7] #282: length 433, score 252, avg 73.5, epsilon 0.242
[287.6] #283: length 500, score 129, avg 74.0, epsilon 0.241
[289.7] #284: length 500, score 132, avg 76.0, epsilon 0.240
[291.7] #285: length 500, score 171, avg 76.9, epsilon 0.238
[293.8] #286: length 500, score 122, avg 78.3, epsilon 0.237
[295.8] #287: length 500, score 174, avg 79.4, epsilon 0.236
[296.8] #288: length 271, score 202, avg 81.3, epsilon 0.235
[298.7] #289: length 494, score 266, avg 83.3, epsilon 0.234
[300.6] #290: length 500, score 106, avg 83.6, epsilon 0.233
[302.6] #291: length 500, score 181, avg 86.5, epsilon 0.231
[303.9] #292: length 332, score 265, avg 87.9, epsilon 0.230
[305.9] #293: length 500, score 133, avg 88.4, epsilon 0.229
[307.9] #294: length 500, score 152, avg 90.1, epsilon 0.228
[309.9] #295: length 500, score 172, avg 92.3, epsilon 0.227
[311.4] #296: length 402, score 311, avg 94.6, epsilon 0.226
[312.1] #297: length 167, score 27, avg 96.8, epsilon 0.225
[314.1] #298: length 500, score 109, avg 97.5, epsilon 0.223
[316.1] #299: length 500, score 154, avg 98.8, epsilon 0.222
[318.1] #300: length 500, score 169, avg 99.9, epsilon 0.221
[319.4] #301: length 332, score 229, avg 101.3, epsilon 0.220
[321.3] #302: length 482, score 253, avg 102.3, epsilon 0.219
[323.2] #303: length 500, score 151, avg 105.0, epsilon 0.218
[323.6] #304: length 112, score 36, avg 104.8, epsilon 0.217
[325.5] #305: length 500, score 165, avg 105.6, epsilon 0.216
[327.6] #306: length 500, score 119, avg 105.7, epsilon 0.215
[329.5] #307: length 500, score 53, avg 106.4, epsilon 0.214
[331.5] #308: length 500, score 169, avg 107.6, epsilon 0.212
[333.5] #309: length 500, score 156, avg 108.9, epsilon 0.211
[335.5] #310: length 500, score 127, avg 109.9, epsilon 0.210
[337.5] #311: length 500, score 172, avg 110.2, epsilon 0.209
[339.4] #312: length 500, score 127, avg 112.1, epsilon 0.208
[341.5] #313: length 500, score 126, avg 112.2, epsilon 0.207
[343.5] #314: length 500, score 160, avg 115.1, epsilon 0.206
[345.5] #315: length 500, score 159, avg 117.3, epsilon 0.205
[347.4] #316: length 500, score 165, avg 118.0, epsilon 0.204
[349.5] #317: length 500, score 152, avg 118.8, epsilon 0.203
[350.7] #318: length 312, score 261, avg 120.8, epsilon 0.202
[351.0] #319: length 96, score -149, avg 118.4, epsilon 0.201
[353.0] #320: length 500, score 205, avg 119.5, epsilon 0.200
[355.0] #321: length 500, score 117, avg 119.5, epsilon 0.199
[356.2] #322: length 295, score 206, avg 121.0, epsilon 0.198
[358.2] #323: length 500, score 131, avg 121.4, epsilon 0.197
[359.2] #324: length 274, score 221, avg 123.5, epsilon 0.196
[361.0] #325: length 439, score 180, avg 124.4, epsilon 0.195
[362.5] #326: length 370, score 280, avg 126.2, epsilon 0.194
[364.6] #327: length 500, score 134, avg 128.3, epsilon 0.193
[366.6] #328: length 500, score 152, avg 130.2, epsilon 0.192
[368.6] #329: length 500, score 140, avg 132.5, epsilon 0.191
[370.7] #330: length 500, score 192, avg 133.4, epsilon 0.190
[371.1] #331: length 122, score 36, avg 133.0, epsilon 0.189
[373.0] #332: length 500, score 156, avg 133.3, epsilon 0.188
[374.3] #333: length 333, score 281, avg 135.5, epsilon 0.187
[374.7] #334: length 108, score 11, avg 135.3, epsilon 0.187
[376.7] #335: length 500, score 155, avg 137.7, epsilon 0.186
[378.6] #336: length 500, score 137, avg 140.1, epsilon 0.185
[380.2] #337: length 417, score 256, avg 141.5, epsilon 0.184
[380.6] #338: length 105, score -4, avg 142.6, epsilon 0.183
[382.7] #339: length 500, score 150, avg 144.6, epsilon 0.182
[384.1] #340: length 363, score 282, avg 147.0, epsilon 0.181
[384.6] #341: length 136, score 61, avg 146.4, epsilon 0.180
[386.3] #342: length 399, score 208, avg 147.6, epsilon 0.179
[387.9] #343: length 396, score 271, avg 150.0, epsilon 0.178
[389.9] #344: length 500, score 161, avg 151.4, epsilon 0.177
[391.9] #345: length 500, score 194, avg 152.0, epsilon 0.177
[394.0] #346: length 500, score 113, avg 151.7, epsilon 0.176
[396.1] #347: length 500, score 151, avg 151.8, epsilon 0.175
[398.2] #348: length 500, score 143, avg 152.2, epsilon 0.174
[400.2] #349: length 500, score 180, avg 152.4, epsilon 0.173
[402.3] #350: length 500, score 77, avg 151.9, epsilon 0.172
[402.8] #351: length 132, score 5, avg 151.0, epsilon 0.171
[404.9] #352: length 500, score 71, avg 150.6, epsilon 0.170
[406.9] #353: length 500, score 33, avg 149.8, epsilon 0.170
[409.0] #354: length 500, score 164, avg 149.7, epsilon 0.169
[411.1] #355: length 500, score 82, avg 149.2, epsilon 0.168
[413.1] #356: length 500, score 119, avg 149.1, epsilon 0.167
[415.2] #357: length 500, score 144, avg 149.4, epsilon 0.166
[417.1] #358: length 493, score 304, avg 151.2, epsilon 0.165
[419.1] #359: length 500, score 176, avg 151.5, epsilon 0.165
[421.1] #360: length 479, score 252, avg 152.8, epsilon 0.164
[421.5] #361: length 109, score -79, avg 150.1, epsilon 0.163
[423.3] #362: length 432, score 268, avg 151.7, epsilon 0.162
[424.7] #363: length 354, score 271, avg 153.1, epsilon 0.161
[426.2] #364: length 391, score 254, avg 154.2, epsilon 0.160
[428.4] #365: length 500, score 135, avg 153.4, epsilon 0.160
[430.5] #366: length 500, score 109, avg 153.1, epsilon 0.159
[432.5] #367: length 500, score 110, avg 152.7, epsilon 0.158
[434.6] #368: length 500, score 159, avg 152.6, epsilon 0.157
[436.1] #369: length 375, score 279, avg 154.8, epsilon 0.157
[438.0] #370: length 475, score 239, avg 155.6, epsilon 0.156
[440.1] #371: length 500, score 142, avg 155.1, epsilon 0.155
[441.4] #372: length 315, score 241, avg 156.0, epsilon 0.154
[442.7] #373: length 345, score 246, avg 156.9, epsilon 0.153
[444.7] #374: length 500, score 164, avg 159.6, epsilon 0.153
[446.7] #375: length 500, score 139, avg 159.5, epsilon 0.152
[448.7] #376: length 500, score 150, avg 159.4, epsilon 0.151
[449.7] #377: length 260, score 283, avg 160.6, epsilon 0.150
[450.8] #378: length 295, score 294, avg 160.8, epsilon 0.150
[451.9] #379: length 272, score 242, avg 161.7, epsilon 0.149
[454.0] #380: length 489, score 259, avg 162.9, epsilon 0.148
[456.1] #381: length 500, score 136, avg 162.3, epsilon 0.147
[458.1] #382: length 500, score 105, avg 160.9, epsilon 0.147
[458.9] #383: length 204, score 35, avg 159.9, epsilon 0.146
[460.9] #384: length 500, score 159, avg 160.2, epsilon 0.145
[462.9] #385: length 485, score 206, avg 160.5, epsilon 0.144
[464.2] #386: length 344, score 298, avg 162.3, epsilon 0.144
[466.3] #387: length 500, score 91, avg 161.5, epsilon 0.143
[468.4] #388: length 500, score 140, avg 160.8, epsilon 0.142
[470.1] #389: length 442, score 286, avg 161.1, epsilon 0.142
[471.9] #390: length 463, score 301, avg 163.0, epsilon 0.141
[472.3] #391: length 89, score 33, avg 161.5, epsilon 0.140
[473.4] #392: length 281, score 221, avg 161.1, epsilon 0.139
[475.4] #393: length 500, score 110, avg 160.9, epsilon 0.139
[476.6] #394: length 310, score 222, avg 161.6, epsilon 0.138
